codigo,descripcion
A03-971.3,Zurcido y reparación de ropas
A03-972.1,Servicios de peluquería señoras y caballeros
A03-972.2,Salones e institutos de belleza y gabinetes de estética
A03-973.1,Servicios fotográficos
A03-973.2,"Máquinas automáticas, sin operador, para fotografías de personas y para copia de documentos"
A03-973.3,Servicios de copias de documentos con maquinas fotocopiadoras
A03-979.1,Servicios de pompas fúnebres
A03-979.2,Adorno de templos y otros locales
A03-979.3,Agencias matrimoniales y otros servicios de relaciones sociales
A03-979.4,Adiestramiento de animales y otros servicios de atenciones a animales domésticos
A03-979.9,Otros servicios personales no clasificados en otras partes
A03-981.1,"Curiosidades, bien naturales o artificiales, en parques, castillos, grutas, cuevas, etc"
A03-981.2,Jardines de recreo en los que la entrada es por precio
A03-981.3,"Parques de atracciones, incluidos los acuáticos y análogos, de carácter estable"
A03-982.1,Tómbolas y rifas autorizadas en establecimientos permanentes
A03-982.2,Tómbolas y rifas autorizadas fuera de establecimiento permanente
A03-982.3,Exposición de figuras de cera en establecimiento permanente
A03-982.4,"Otras atracciones, comercio al por menor y servicios de restauración propios de ferias y verbenas, fuera de establecimiento permanente"
A03-982.5,"Organización y celebración de Apuestas Deportivas, Loterías y otros juegos"
A03-989.1,Expedición de billetes de espectáculos públicos
A03-989.2,"Servicios de organización de congresos, asambleas y similares"
A03-989.3,Parques o recintos feriales
