codigo,descripcion
A03-675,"Servicios en quioscos, cajones, barracas u otros locales análogos, situados en mercados o plazas de abastos, al aire libre en la vía publica o jardines."
A03-676,"Servicio de chocolaterías, heladerías y horchaterías."
A03-681,Servicio de hospedaje en hoteles y moteles.
A03-682,Servicio de hospedaje en hostales y pensiones.
A03-683,Servicio de hospedaje en fondas y casas de huéspedes.
A03-684,Servicio de hospedaje en hoteles-apartamentos.
A03-685,Alojamientos turísticos extrahoteleros
A03-686,Explotación de apartamentos privados a través de agencia o empresa organizada.
A03-692,Reparación de maquinaria industrial
A03-699,Otras reparaciones no clasificados en otras partes
A05-699,Otros profesionales relacionados con el transporte y las telecomunicaciones no clasificados en otras partes
A03-711,Transporte ferroviario por vía normal
A05-711,Actuarios de seguros
A03-712,Transporte ferroviario por vía estrecha
A05-712,Agentes y corredores de seguros
A05-721,Agentes colegiados de propiedad industrial e inmobiliaria
A03-722,Transporte de mercancías por carretera
A05-722,Gestores administrativos
A05-723,Administradores de fincas
A05-724,Intermediarios en la promoción de edificaciones
A05-725,Habilitados de Clases Pasivas
A05-726,Graduados Sociales
A05-727,Agentes o intermediarios en facilitar préstamos
A05-728,Agentes de aduanas
A03-729,Otros transportes terrestres no clasificados en otras partes
A05-731,Abogados
A03-732,Transporte marítimo de crudos y gases
A05-732,Procuradores
A05-733,Notarios
A05-734,Registradores
A05-741,Economistas
A05-742,Intendentes y profesores mercantiles
A05-743,Peritos Mercantiles
A05-744,Diplomados en Ciencias Empresariales
A05-746,Corredores de comercio libres
A05-747,Auditores de cuentas y Censores jurados de cuentas.
A05-748,Administradores de la cartera de valores
A05-749,Corredores intérpretes y Corredores marítimos
A05-751,"Profesionales de la Publicidad, relaciones publicas y similares."
A03-755,Agencias de viajes
A03-756,Actividades auxiliares y complementarias del transporte (intermediarios del transporte)
A03-757,Servicio de mudanzas
A05-761,Doctores y licenciados ciencias exactas y estadísticas
A05-762,"Doctores, licenciados e ingenieros informáticos"
A05-763,Programadores y Analistas de Informática
A05-764,Diplomados en Informática
A05-765,"Grabadores, Informáticos y otros profesionales auxiliares del tratamiento electrónico de datos"
A03-769,Otros servicios de telecomunicación
A05-771,"Agentes cobradores de facturas, de efectos comerciales, de préstamos y derechos de todas clases"
A05-772,"Estenotipistas, Mecanógrafos, Taquígrafos y otros profesionales administrativos"
